Callsite,Inspector,Finding,Verdict,JS Call Place,Android Context
Intent-webview_new-27,ollama/qwen2.5-coder:7b,"### Finding: No vulnerabilities identified
**Risk Level**: Low
**Data Flow Path**: N/A
**Technical Description**: No exploitable data flows found in the provided context. The bridge interface methods do not contain any evidence of SQL Injection, File Paths, Intent Creation, Runtime.exec() or Reflection. There is no mention of sensitive data being returned from Java methods that could lead to PII leakage. All input parameters are assumed to be attacker-controlled and need further analysis based on their usage in the respective methods.
**Evidence**: N/A",INVALID,,"Interface 'AndroidList' (Lcom/ds/avare/webinfc/WebAppAircraftInterface;) exposes: [METHOD 1] addToList(Ljava/lang/String;)V
  Readable: void addToList(String)
[METHOD 2] deleteItem()V
  Readable: void deleteItem()
[METHOD 3] discardList()V
  Readable: void discardList()
[METHOD 4] importFromFile(Ljava/lang/String;)V
  Readable: void importFromFile(String)
[METHOD 5] loadAc(Ljava/lang/String;)V
  Readable: void loadAc(String)
[METHOD 6] loadList(Ljava/lang/String;)V
  Readable: void loadList(String)
[METHOD 7] loadWnb(Ljava/lang/String;)V
  Readable: void loadWnb(String)
[METHOD 8] moveDownItem()V
  Readable: void moveDownItem()
[METHOD 9] moveForward()V
  Readable: void moveForward()
[METHOD 10] moveTo(I)V
  Readable: void moveTo(int)
[METHOD 11] moveUpItem()V
  Readable: void moveUpItem()
[METHOD 12] saveAc(Ljava/lang/String;)V
  Readable: void saveAc(String)
[METHOD 13] saveDelete(Ljava/lang/String;)V
  Readable: void saveDelete(String)
[METHOD 14] saveDeleteAc(Ljava/lang/String;)V
  Readable: void saveDeleteAc(String)
[METHOD 15] saveDeleteWnb(Ljava/lang/String;)V
  Readable: void saveDeleteWnb(String)
[METHOD 16] saveList(Ljava/lang/String;)V
  Readable: void saveList(String)
[METHOD 17] saveWnb(Ljava/lang/String;)V
  Readable: void saveWnb(String) | initiating method: onCreate(Landroid/os/Bundle;)V"
Intent-webview_new-27,ollama/deepseek-r1:8b,"### Finding: Path Traversal in `importFromFile`
**Risk Level**: High  
**Data Flow Path**: [JavaScript] -> `importFromFile` -> [Java file I/O sink]  
**Technical Description**: The `importFromFile` method takes a user-controlled string and uses it directly as a file path without sanitization. This allows attackers to inject path traversal sequences (e.g., `../../`) to access restricted files or directories.  
**Evidence**: `importFromFile(Ljava/lang/String;)V`

---",VALID,,"Interface 'AndroidList' (Lcom/ds/avare/webinfc/WebAppAircraftInterface;) exposes: [METHOD 1] addToList(Ljava/lang/String;)V
  Readable: void addToList(String)
[METHOD 2] deleteItem()V
  Readable: void deleteItem()
[METHOD 3] discardList()V
  Readable: void discardList()
[METHOD 4] importFromFile(Ljava/lang/String;)V
  Readable: void importFromFile(String)
[METHOD 5] loadAc(Ljava/lang/String;)V
  Readable: void loadAc(String)
[METHOD 6] loadList(Ljava/lang/String;)V
  Readable: void loadList(String)
[METHOD 7] loadWnb(Ljava/lang/String;)V
  Readable: void loadWnb(String)
[METHOD 8] moveDownItem()V
  Readable: void moveDownItem()
[METHOD 9] moveForward()V
  Readable: void moveForward()
[METHOD 10] moveTo(I)V
  Readable: void moveTo(int)
[METHOD 11] moveUpItem()V
  Readable: void moveUpItem()
[METHOD 12] saveAc(Ljava/lang/String;)V
  Readable: void saveAc(String)
[METHOD 13] saveDelete(Ljava/lang/String;)V
  Readable: void saveDelete(String)
[METHOD 14] saveDeleteAc(Ljava/lang/String;)V
  Readable: void saveDeleteAc(String)
[METHOD 15] saveDeleteWnb(Ljava/lang/String;)V
  Readable: void saveDeleteWnb(String)
[METHOD 16] saveList(Ljava/lang/String;)V
  Readable: void saveList(String)
[METHOD 17] saveWnb(Ljava/lang/String;)V
  Readable: void saveWnb(String) | initiating method: onCreate(Landroid/os/Bundle;)V"
Intent-webview_new-27,ollama/deepseek-r1:8b,"### Finding: Path Traversal in `loadAc`
**Risk Level**: High  
**Data Flow Path**: [JavaScript] -> `loadAc` -> [Java file I/O sink]  
**Technical Description**: The `loadAc` method accepts a user-controlled string as a file path. Without proper validation, attackers can exploit path traversal to read sensitive files.  
**Evidence**: `loadAc(Ljava/lang/String;)V`

---",INVALID,,"Interface 'AndroidList' (Lcom/ds/avare/webinfc/WebAppAircraftInterface;) exposes: [METHOD 1] addToList(Ljava/lang/String;)V
  Readable: void addToList(String)
[METHOD 2] deleteItem()V
  Readable: void deleteItem()
[METHOD 3] discardList()V
  Readable: void discardList()
[METHOD 4] importFromFile(Ljava/lang/String;)V
  Readable: void importFromFile(String)
[METHOD 5] loadAc(Ljava/lang/String;)V
  Readable: void loadAc(String)
[METHOD 6] loadList(Ljava/lang/String;)V
  Readable: void loadList(String)
[METHOD 7] loadWnb(Ljava/lang/String;)V
  Readable: void loadWnb(String)
[METHOD 8] moveDownItem()V
  Readable: void moveDownItem()
[METHOD 9] moveForward()V
  Readable: void moveForward()
[METHOD 10] moveTo(I)V
  Readable: void moveTo(int)
[METHOD 11] moveUpItem()V
  Readable: void moveUpItem()
[METHOD 12] saveAc(Ljava/lang/String;)V
  Readable: void saveAc(String)
[METHOD 13] saveDelete(Ljava/lang/String;)V
  Readable: void saveDelete(String)
[METHOD 14] saveDeleteAc(Ljava/lang/String;)V
  Readable: void saveDeleteAc(String)
[METHOD 15] saveDeleteWnb(Ljava/lang/String;)V
  Readable: void saveDeleteWnb(String)
[METHOD 16] saveList(Ljava/lang/String;)V
  Readable: void saveList(String)
[METHOD 17] saveWnb(Ljava/lang/String;)V
  Readable: void saveWnb(String) | initiating method: onCreate(Landroid/os/Bundle;)V"
Intent-webview_new-27,ollama/deepseek-r1:8b,"### Finding: Path Traversal in `loadList`
**Risk Level**: High  
**Data Flow Path**: [JavaScript] -> `loadList` -> [Java file I/O sink]  
**Technical Description**: The `loadList` method uses a user-controlled string as a file path, enabling path traversal attacks to access unauthorized files.  
**Evidence**: `loadList(Ljava/lang/String;)V`

---",INVALID,,"Interface 'AndroidList' (Lcom/ds/avare/webinfc/WebAppAircraftInterface;) exposes: [METHOD 1] addToList(Ljava/lang/String;)V
  Readable: void addToList(String)
[METHOD 2] deleteItem()V
  Readable: void deleteItem()
[METHOD 3] discardList()V
  Readable: void discardList()
[METHOD 4] importFromFile(Ljava/lang/String;)V
  Readable: void importFromFile(String)
[METHOD 5] loadAc(Ljava/lang/String;)V
  Readable: void loadAc(String)
[METHOD 6] loadList(Ljava/lang/String;)V
  Readable: void loadList(String)
[METHOD 7] loadWnb(Ljava/lang/String;)V
  Readable: void loadWnb(String)
[METHOD 8] moveDownItem()V
  Readable: void moveDownItem()
[METHOD 9] moveForward()V
  Readable: void moveForward()
[METHOD 10] moveTo(I)V
  Readable: void moveTo(int)
[METHOD 11] moveUpItem()V
  Readable: void moveUpItem()
[METHOD 12] saveAc(Ljava/lang/String;)V
  Readable: void saveAc(String)
[METHOD 13] saveDelete(Ljava/lang/String;)V
  Readable: void saveDelete(String)
[METHOD 14] saveDeleteAc(Ljava/lang/String;)V
  Readable: void saveDeleteAc(String)
[METHOD 15] saveDeleteWnb(Ljava/lang/String;)V
  Readable: void saveDeleteWnb(String)
[METHOD 16] saveList(Ljava/lang/String;)V
  Readable: void saveList(String)
[METHOD 17] saveWnb(Ljava/lang/String;)V
  Readable: void saveWnb(String) | initiating method: onCreate(Landroid/os/Bundle;)V"
Intent-webview_new-27,ollama/deepseek-r1:8b,"### Finding: Path Traversal in `loadWnb`
**Risk Level**: High  
**Data Flow Path**: [JavaScript] -> `loadWnb` -> [Java file I/O sink]  
**Technical Description**: The `loadWnb` method is vulnerable to path traversal as it uses a user-controlled string for file operations without sanitization.  
**Evidence**: `loadWnb(Ljava/lang/String;)V`

---",INVALID,,"Interface 'AndroidList' (Lcom/ds/avare/webinfc/WebAppAircraftInterface;) exposes: [METHOD 1] addToList(Ljava/lang/String;)V
  Readable: void addToList(String)
[METHOD 2] deleteItem()V
  Readable: void deleteItem()
[METHOD 3] discardList()V
  Readable: void discardList()
[METHOD 4] importFromFile(Ljava/lang/String;)V
  Readable: void importFromFile(String)
[METHOD 5] loadAc(Ljava/lang/String;)V
  Readable: void loadAc(String)
[METHOD 6] loadList(Ljava/lang/String;)V
  Readable: void loadList(String)
[METHOD 7] loadWnb(Ljava/lang/String;)V
  Readable: void loadWnb(String)
[METHOD 8] moveDownItem()V
  Readable: void moveDownItem()
[METHOD 9] moveForward()V
  Readable: void moveForward()
[METHOD 10] moveTo(I)V
  Readable: void moveTo(int)
[METHOD 11] moveUpItem()V
  Readable: void moveUpItem()
[METHOD 12] saveAc(Ljava/lang/String;)V
  Readable: void saveAc(String)
[METHOD 13] saveDelete(Ljava/lang/String;)V
  Readable: void saveDelete(String)
[METHOD 14] saveDeleteAc(Ljava/lang/String;)V
  Readable: void saveDeleteAc(String)
[METHOD 15] saveDeleteWnb(Ljava/lang/String;)V
  Readable: void saveDeleteWnb(String)
[METHOD 16] saveList(Ljava/lang/String;)V
  Readable: void saveList(String)
[METHOD 17] saveWnb(Ljava/lang/String;)V
  Readable: void saveWnb(String) | initiating method: onCreate(Landroid/os/Bundle;)V"
Intent-webview_new-27,ollama/deepseek-r1:8b,"### Finding: Path Traversal in `saveAc`
**Risk Level**: High  
**Data Flow Path**: [JavaScript] -> `saveAc` -> [Java file I/O sink]  
**Technical Description**: The `saveAc` method constructs file paths using a user-controlled string, risking path traversal to overwrite or read unintended files.  
**Evidence**: `saveAc(Ljava/lang/String;)V`

---",INVALID,,"Interface 'AndroidList' (Lcom/ds/avare/webinfc/WebAppAircraftInterface;) exposes: [METHOD 1] addToList(Ljava/lang/String;)V
  Readable: void addToList(String)
[METHOD 2] deleteItem()V
  Readable: void deleteItem()
[METHOD 3] discardList()V
  Readable: void discardList()
[METHOD 4] importFromFile(Ljava/lang/String;)V
  Readable: void importFromFile(String)
[METHOD 5] loadAc(Ljava/lang/String;)V
  Readable: void loadAc(String)
[METHOD 6] loadList(Ljava/lang/String;)V
  Readable: void loadList(String)
[METHOD 7] loadWnb(Ljava/lang/String;)V
  Readable: void loadWnb(String)
[METHOD 8] moveDownItem()V
  Readable: void moveDownItem()
[METHOD 9] moveForward()V
  Readable: void moveForward()
[METHOD 10] moveTo(I)V
  Readable: void moveTo(int)
[METHOD 11] moveUpItem()V
  Readable: void moveUpItem()
[METHOD 12] saveAc(Ljava/lang/String;)V
  Readable: void saveAc(String)
[METHOD 13] saveDelete(Ljava/lang/String;)V
  Readable: void saveDelete(String)
[METHOD 14] saveDeleteAc(Ljava/lang/String;)V
  Readable: void saveDeleteAc(String)
[METHOD 15] saveDeleteWnb(Ljava/lang/String;)V
  Readable: void saveDeleteWnb(String)
[METHOD 16] saveList(Ljava/lang/String;)V
  Readable: void saveList(String)
[METHOD 17] saveWnb(Ljava/lang/String;)V
  Readable: void saveWnb(String) | initiating method: onCreate(Landroid/os/Bundle;)V"
Intent-webview_new-27,ollama/deepseek-r1:8b,"### Finding: Path Traversal in `saveDelete`
**Risk Level**: High  
**Data Flow Path**: [JavaScript] -> `saveDelete` -> [Java file I/O sink]  
**Technical Description**: The `saveDelete` method uses a user-controlled string for file operations, susceptible to path traversal attacks.  
**Evidence**: `saveDelete(Ljava/lang/String;)V`

---",INVALID,,"Interface 'AndroidList' (Lcom/ds/avare/webinfc/WebAppAircraftInterface;) exposes: [METHOD 1] addToList(Ljava/lang/String;)V
  Readable: void addToList(String)
[METHOD 2] deleteItem()V
  Readable: void deleteItem()
[METHOD 3] discardList()V
  Readable: void discardList()
[METHOD 4] importFromFile(Ljava/lang/String;)V
  Readable: void importFromFile(String)
[METHOD 5] loadAc(Ljava/lang/String;)V
  Readable: void loadAc(String)
[METHOD 6] loadList(Ljava/lang/String;)V
  Readable: void loadList(String)
[METHOD 7] loadWnb(Ljava/lang/String;)V
  Readable: void loadWnb(String)
[METHOD 8] moveDownItem()V
  Readable: void moveDownItem()
[METHOD 9] moveForward()V
  Readable: void moveForward()
[METHOD 10] moveTo(I)V
  Readable: void moveTo(int)
[METHOD 11] moveUpItem()V
  Readable: void moveUpItem()
[METHOD 12] saveAc(Ljava/lang/String;)V
  Readable: void saveAc(String)
[METHOD 13] saveDelete(Ljava/lang/String;)V
  Readable: void saveDelete(String)
[METHOD 14] saveDeleteAc(Ljava/lang/String;)V
  Readable: void saveDeleteAc(String)
[METHOD 15] saveDeleteWnb(Ljava/lang/String;)V
  Readable: void saveDeleteWnb(String)
[METHOD 16] saveList(Ljava/lang/String;)V
  Readable: void saveList(String)
[METHOD 17] saveWnb(Ljava/lang/String;)V
  Readable: void saveWnb(String) | initiating method: onCreate(Landroid/os/Bundle;)V"
Intent-webview_new-27,ollama/deepseek-r1:8b,"### Finding: Path Traversal in `saveDeleteAc`
**Risk Level**: High  
**Data Flow Path**: [JavaScript] -> `saveDeleteAc` -> [Java file I/O sink]  
**Technical Description**: The `saveDeleteAc` method lacks input sanitization for file paths, allowing attackers to manipulate paths and access restricted areas.  
**Evidence**: `saveDeleteAc(Ljava/lang/String;)V`

---",INVALID,,"Interface 'AndroidList' (Lcom/ds/avare/webinfc/WebAppAircraftInterface;) exposes: [METHOD 1] addToList(Ljava/lang/String;)V
  Readable: void addToList(String)
[METHOD 2] deleteItem()V
  Readable: void deleteItem()
[METHOD 3] discardList()V
  Readable: void discardList()
[METHOD 4] importFromFile(Ljava/lang/String;)V
  Readable: void importFromFile(String)
[METHOD 5] loadAc(Ljava/lang/String;)V
  Readable: void loadAc(String)
[METHOD 6] loadList(Ljava/lang/String;)V
  Readable: void loadList(String)
[METHOD 7] loadWnb(Ljava/lang/String;)V
  Readable: void loadWnb(String)
[METHOD 8] moveDownItem()V
  Readable: void moveDownItem()
[METHOD 9] moveForward()V
  Readable: void moveForward()
[METHOD 10] moveTo(I)V
  Readable: void moveTo(int)
[METHOD 11] moveUpItem()V
  Readable: void moveUpItem()
[METHOD 12] saveAc(Ljava/lang/String;)V
  Readable: void saveAc(String)
[METHOD 13] saveDelete(Ljava/lang/String;)V
  Readable: void saveDelete(String)
[METHOD 14] saveDeleteAc(Ljava/lang/String;)V
  Readable: void saveDeleteAc(String)
[METHOD 15] saveDeleteWnb(Ljava/lang/String;)V
  Readable: void saveDeleteWnb(String)
[METHOD 16] saveList(Ljava/lang/String;)V
  Readable: void saveList(String)
[METHOD 17] saveWnb(Ljava/lang/String;)V
  Readable: void saveWnb(String) | initiating method: onCreate(Landroid/os/Bundle;)V"
Intent-webview_new-27,ollama/deepseek-r1:8b,"### Finding: Path Traversal in `saveDeleteWnb`
**Risk Level**: High  
**Data Flow Path**: [JavaScript] -> `saveDeleteWnb` -> [Java file I/O sink]  
**Technical Description**: The `saveDeleteWnb` method uses a user-controlled string for file operations, enabling path traversal to compromise data confidentiality.  
**Evidence**: `saveDeleteWnb(Ljava/lang/String;)V`

---",INVALID,,"Interface 'AndroidList' (Lcom/ds/avare/webinfc/WebAppAircraftInterface;) exposes: [METHOD 1] addToList(Ljava/lang/String;)V
  Readable: void addToList(String)
[METHOD 2] deleteItem()V
  Readable: void deleteItem()
[METHOD 3] discardList()V
  Readable: void discardList()
[METHOD 4] importFromFile(Ljava/lang/String;)V
  Readable: void importFromFile(String)
[METHOD 5] loadAc(Ljava/lang/String;)V
  Readable: void loadAc(String)
[METHOD 6] loadList(Ljava/lang/String;)V
  Readable: void loadList(String)
[METHOD 7] loadWnb(Ljava/lang/String;)V
  Readable: void loadWnb(String)
[METHOD 8] moveDownItem()V
  Readable: void moveDownItem()
[METHOD 9] moveForward()V
  Readable: void moveForward()
[METHOD 10] moveTo(I)V
  Readable: void moveTo(int)
[METHOD 11] moveUpItem()V
  Readable: void moveUpItem()
[METHOD 12] saveAc(Ljava/lang/String;)V
  Readable: void saveAc(String)
[METHOD 13] saveDelete(Ljava/lang/String;)V
  Readable: void saveDelete(String)
[METHOD 14] saveDeleteAc(Ljava/lang/String;)V
  Readable: void saveDeleteAc(String)
[METHOD 15] saveDeleteWnb(Ljava/lang/String;)V
  Readable: void saveDeleteWnb(String)
[METHOD 16] saveList(Ljava/lang/String;)V
  Readable: void saveList(String)
[METHOD 17] saveWnb(Ljava/lang/String;)V
  Readable: void saveWnb(String) | initiating method: onCreate(Landroid/os/Bundle;)V"
Intent-webview_new-27,ollama/deepseek-r1:8b,"### Finding: Path Traversal in `saveList`
**Risk Level**: High  
**Data Flow Path**: [JavaScript] -> `saveList` -> [Java file I/O sink]  
**Technical Description**: The `saveList` method constructs file paths from user input without sanitization, allowing attackers to traverse directories and access sensitive files.  
**Evidence**: `saveList(Ljava/lang/String;)V`

---",INVALID,,"Interface 'AndroidList' (Lcom/ds/avare/webinfc/WebAppAircraftInterface;) exposes: [METHOD 1] addToList(Ljava/lang/String;)V
  Readable: void addToList(String)
[METHOD 2] deleteItem()V
  Readable: void deleteItem()
[METHOD 3] discardList()V
  Readable: void discardList()
[METHOD 4] importFromFile(Ljava/lang/String;)V
  Readable: void importFromFile(String)
[METHOD 5] loadAc(Ljava/lang/String;)V
  Readable: void loadAc(String)
[METHOD 6] loadList(Ljava/lang/String;)V
  Readable: void loadList(String)
[METHOD 7] loadWnb(Ljava/lang/String;)V
  Readable: void loadWnb(String)
[METHOD 8] moveDownItem()V
  Readable: void moveDownItem()
[METHOD 9] moveForward()V
  Readable: void moveForward()
[METHOD 10] moveTo(I)V
  Readable: void moveTo(int)
[METHOD 11] moveUpItem()V
  Readable: void moveUpItem()
[METHOD 12] saveAc(Ljava/lang/String;)V
  Readable: void saveAc(String)
[METHOD 13] saveDelete(Ljava/lang/String;)V
  Readable: void saveDelete(String)
[METHOD 14] saveDeleteAc(Ljava/lang/String;)V
  Readable: void saveDeleteAc(String)
[METHOD 15] saveDeleteWnb(Ljava/lang/String;)V
  Readable: void saveDeleteWnb(String)
[METHOD 16] saveList(Ljava/lang/String;)V
  Readable: void saveList(String)
[METHOD 17] saveWnb(Ljava/lang/String;)V
  Readable: void saveWnb(String) | initiating method: onCreate(Landroid/os/Bundle;)V"
