"Callsite","Inspector","Finding","Verdict","JS Call Place","Android Context"
"Intent-webview_new-9","ollama/qwen2.5-coder:7b","### Finding: No vulnerabilities identified
**Risk Level**: Low
**Data Flow Path**: N/A
**Technical Description**: No exploitable data flows found in the provided context.
**Evidence**: N/A

The analysis of the bridge callsite did not identify any immediate security vulnerabilities such as SQL Injection, File Paths, Intent Creation, Runtime.exec() or Reflection. The methods exposed are primarily intended for communication and control purposes rather than handling sensitive data or performing potentially dangerous operations that could be exploited by attackers.","INVALID","","Interface 'android' (Lcom/cradle/iitc_mobile/IITC_JSInterface;) exposes: [METHOD 1] addPane(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String)
[METHOD 2] addPane(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String, String)
[METHOD 3] addPortalHighlighter(Ljava/lang/String;)V
  Readable: void addPortalHighlighter(String)
[METHOD 4] bootFinished()V
  Readable: void bootFinished()
[METHOD 5] copy(Ljava/lang/String;)V
  Readable: void copy(String)
[METHOD 6] dialogFocused(Ljava/lang/String;)V
  Readable: void dialogFocused(String)
[METHOD 7] dialogOpened(Ljava/lang/String;Z)V
  Readable: void dialogOpened(String, boolean)
[METHOD 8] getFileRequestUrlPrefix()Ljava/lang/String;
  Readable: String getFileRequestUrlPrefix()
[METHOD 9] getVersionCode()I
  Readable: int getVersionCode()
[METHOD 10] getVersionName()Ljava/lang/String;
  Readable: String getVersionName()
[METHOD 11] intentPosLink(DDILjava/lang/String;Z)V
  Readable: void intentPosLink(double, double, int, String, boolean)
[METHOD 12] reloadIITC()V
  Readable: void reloadIITC()
[METHOD 13] reloadIITC(Z)V
  Readable: void reloadIITC(boolean)
[METHOD 14] saveFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void saveFile(String, String, String)
[METHOD 15] setActiveHighlighter(Ljava/lang/String;)V
  Readable: void setActiveHighlighter(String)
[METHOD 16] setFollowMode(Z)V
  Readable: void setFollowMode(boolean)
[METHOD 17] setLayers(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void setLayers(String, String)
[METHOD 18] setPermalink(Ljava/lang/String;)V
  Readable: void setPermalink(String)
[METHOD 19] setProgress(D)V
  Readable: void setProgress(double)
[METHOD 20] shareString(Ljava/lang/String;)V
  Readable: void shareString(String)
[METHOD 21] showZoom()Z
  Readable: boolean showZoom()
[METHOD 22] spinnerEnabled(Z)V
  Readable: void spinnerEnabled(boolean)
[METHOD 23] switchToPane(Ljava/lang/String;)V
  Readable: void switchToPane(String)
[METHOD 24] updateIitc(Ljava/lang/String;)V
  Readable: void updateIitc(String) | initiating method: iitc_init(Landroid/content/Context;)V"
"Intent-webview_new-9","ollama/deepseek-r1:8b","### Finding: Clipboard Copy (Method 5)
**Risk Level**: Medium  
**Data Flow Path**: [JS Source] -> [JS call to copy] -> [Java method copy] -> [Clipboard]  
**Technical Description**: The `copy` method allows arbitrary JavaScript to write to the clipboard. This can lead to sensitive information being copied without user consent, or the user being tricked into copying malicious data.  
**Evidence**: `copy('arbitrary string');`

---","INVALID","","Interface 'android' (Lcom/cradle/iitc_mobile/IITC_JSInterface;) exposes: [METHOD 1] addPane(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String)
[METHOD 2] addPane(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String, String)
[METHOD 3] addPortalHighlighter(Ljava/lang/String;)V
  Readable: void addPortalHighlighter(String)
[METHOD 4] bootFinished()V
  Readable: void bootFinished()
[METHOD 5] copy(Ljava/lang/String;)V
  Readable: void copy(String)
[METHOD 6] dialogFocused(Ljava/lang/String;)V
  Readable: void dialogFocused(String)
[METHOD 7] dialogOpened(Ljava/lang/String;Z)V
  Readable: void dialogOpened(String, boolean)
[METHOD 8] getFileRequestUrlPrefix()Ljava/lang/String;
  Readable: String getFileRequestUrlPrefix()
[METHOD 9] getVersionCode()I
  Readable: int getVersionCode()
[METHOD 10] getVersionName()Ljava/lang/String;
  Readable: String getVersionName()
[METHOD 11] intentPosLink(DDILjava/lang/String;Z)V
  Readable: void intentPosLink(double, double, int, String, boolean)
[METHOD 12] reloadIITC()V
  Readable: void reloadIITC()
[METHOD 13] reloadIITC(Z)V
  Readable: void reloadIITC(boolean)
[METHOD 14] saveFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void saveFile(String, String, String)
[METHOD 15] setActiveHighlighter(Ljava/lang/String;)V
  Readable: void setActiveHighlighter(String)
[METHOD 16] setFollowMode(Z)V
  Readable: void setFollowMode(boolean)
[METHOD 17] setLayers(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void setLayers(String, String)
[METHOD 18] setPermalink(Ljava/lang/String;)V
  Readable: void setPermalink(String)
[METHOD 19] setProgress(D)V
  Readable: void setProgress(double)
[METHOD 20] shareString(Ljava/lang/String;)V
  Readable: void shareString(String)
[METHOD 21] showZoom()Z
  Readable: boolean showZoom()
[METHOD 22] spinnerEnabled(Z)V
  Readable: void spinnerEnabled(boolean)
[METHOD 23] switchToPane(Ljava/lang/String;)V
  Readable: void switchToPane(String)
[METHOD 24] updateIitc(Ljava/lang/String;)V
  Readable: void updateIitc(String) | initiating method: iitc_init(Landroid/content/Context;)V"
"Intent-webview_new-9","ollama/deepseek-r1:8b","### Finding: File Save (Method 14)
**Risk Level**: High  
**Data Flow Path**: [JS Source] -> [JS call to saveFile] -> [Java method saveFile] -> [File System]  
**Technical Description**: The `saveFile` method allows arbitrary JavaScript to save a file with a user-controlled name and content. This can lead to arbitrary file write, potentially allowing an attacker to overwrite sensitive files or execute code if the file is executable.  
**Evidence**: `saveFile('file.txt', 'content', '/path/to/directory/');`

---","VALID","","Interface 'android' (Lcom/cradle/iitc_mobile/IITC_JSInterface;) exposes: [METHOD 1] addPane(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String)
[METHOD 2] addPane(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String, String)
[METHOD 3] addPortalHighlighter(Ljava/lang/String;)V
  Readable: void addPortalHighlighter(String)
[METHOD 4] bootFinished()V
  Readable: void bootFinished()
[METHOD 5] copy(Ljava/lang/String;)V
  Readable: void copy(String)
[METHOD 6] dialogFocused(Ljava/lang/String;)V
  Readable: void dialogFocused(String)
[METHOD 7] dialogOpened(Ljava/lang/String;Z)V
  Readable: void dialogOpened(String, boolean)
[METHOD 8] getFileRequestUrlPrefix()Ljava/lang/String;
  Readable: String getFileRequestUrlPrefix()
[METHOD 9] getVersionCode()I
  Readable: int getVersionCode()
[METHOD 10] getVersionName()Ljava/lang/String;
  Readable: String getVersionName()
[METHOD 11] intentPosLink(DDILjava/lang/String;Z)V
  Readable: void intentPosLink(double, double, int, String, boolean)
[METHOD 12] reloadIITC()V
  Readable: void reloadIITC()
[METHOD 13] reloadIITC(Z)V
  Readable: void reloadIITC(boolean)
[METHOD 14] saveFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void saveFile(String, String, String)
[METHOD 15] setActiveHighlighter(Ljava/lang/String;)V
  Readable: void setActiveHighlighter(String)
[METHOD 16] setFollowMode(Z)V
  Readable: void setFollowMode(boolean)
[METHOD 17] setLayers(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void setLayers(String, String)
[METHOD 18] setPermalink(Ljava/lang/String;)V
  Readable: void setPermalink(String)
[METHOD 19] setProgress(D)V
  Readable: void setProgress(double)
[METHOD 20] shareString(Ljava/lang/String;)V
  Readable: void shareString(String)
[METHOD 21] showZoom()Z
  Readable: boolean showZoom()
[METHOD 22] spinnerEnabled(Z)V
  Readable: void spinnerEnabled(boolean)
[METHOD 23] switchToPane(Ljava/lang/String;)V
  Readable: void switchToPane(String)
[METHOD 24] updateIitc(Ljava/lang/String;)V
  Readable: void updateIitc(String) | initiating method: iitc_init(Landroid/content/Context;)V"
"Intent-webview_new-9","ollama/deepseek-r1:8b","### Finding: Intent Creation (Method 11)
**Risk Level**: High  
**Data Flow Path**: [JS Source] -> [JS call to intentPosLink] -> [Java method intentPosLink] -> [Intent]  
**Technical Description**: The `intentPosLink` method creates an intent with arbitrary data (location, type, string, and boolean). The arbitrary string might be used to start an activity with a malicious URL or action, leading to phishing or unauthorized operations.  
**Evidence**: `intentPosLink(0.0, 0.0, 0, 'http://malicious.com', true);`

---","INVALID","","Interface 'android' (Lcom/cradle/iitc_mobile/IITC_JSInterface;) exposes: [METHOD 1] addPane(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String)
[METHOD 2] addPane(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String, String)
[METHOD 3] addPortalHighlighter(Ljava/lang/String;)V
  Readable: void addPortalHighlighter(String)
[METHOD 4] bootFinished()V
  Readable: void bootFinished()
[METHOD 5] copy(Ljava/lang/String;)V
  Readable: void copy(String)
[METHOD 6] dialogFocused(Ljava/lang/String;)V
  Readable: void dialogFocused(String)
[METHOD 7] dialogOpened(Ljava/lang/String;Z)V
  Readable: void dialogOpened(String, boolean)
[METHOD 8] getFileRequestUrlPrefix()Ljava/lang/String;
  Readable: String getFileRequestUrlPrefix()
[METHOD 9] getVersionCode()I
  Readable: int getVersionCode()
[METHOD 10] getVersionName()Ljava/lang/String;
  Readable: String getVersionName()
[METHOD 11] intentPosLink(DDILjava/lang/String;Z)V
  Readable: void intentPosLink(double, double, int, String, boolean)
[METHOD 12] reloadIITC()V
  Readable: void reloadIITC()
[METHOD 13] reloadIITC(Z)V
  Readable: void reloadIITC(boolean)
[METHOD 14] saveFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void saveFile(String, String, String)
[METHOD 15] setActiveHighlighter(Ljava/lang/String;)V
  Readable: void setActiveHighlighter(String)
[METHOD 16] setFollowMode(Z)V
  Readable: void setFollowMode(boolean)
[METHOD 17] setLayers(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void setLayers(String, String)
[METHOD 18] setPermalink(Ljava/lang/String;)V
  Readable: void setPermalink(String)
[METHOD 19] setProgress(D)V
  Readable: void setProgress(double)
[METHOD 20] shareString(Ljava/lang/String;)V
  Readable: void shareString(String)
[METHOD 21] showZoom()Z
  Readable: boolean showZoom()
[METHOD 22] spinnerEnabled(Z)V
  Readable: void spinnerEnabled(boolean)
[METHOD 23] switchToPane(Ljava/lang/String;)V
  Readable: void switchToPane(String)
[METHOD 24] updateIitc(Ljava/lang/String;)V
  Readable: void updateIitc(String) | initiating method: iitc_init(Landroid/content/Context;)V"
"Intent-webview_new-9","ollama/deepseek-r1:8b","### Finding: Share Method (Method 20)
**Risk Level**: Medium  
**Data Flow Path**: [JS Source] -> [JS call to shareString] -> [Java method shareString] -> [Intent]  
**Technical Description**: The `shareString` method allows arbitrary JavaScript to share a string via an intent. This can be used to leak sensitive information to other apps.  
**Evidence**: `shareString('arbitrary string');`

---","INVALID","","Interface 'android' (Lcom/cradle/iitc_mobile/IITC_JSInterface;) exposes: [METHOD 1] addPane(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String)
[METHOD 2] addPane(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String, String)
[METHOD 3] addPortalHighlighter(Ljava/lang/String;)V
  Readable: void addPortalHighlighter(String)
[METHOD 4] bootFinished()V
  Readable: void bootFinished()
[METHOD 5] copy(Ljava/lang/String;)V
  Readable: void copy(String)
[METHOD 6] dialogFocused(Ljava/lang/String;)V
  Readable: void dialogFocused(String)
[METHOD 7] dialogOpened(Ljava/lang/String;Z)V
  Readable: void dialogOpened(String, boolean)
[METHOD 8] getFileRequestUrlPrefix()Ljava/lang/String;
  Readable: String getFileRequestUrlPrefix()
[METHOD 9] getVersionCode()I
  Readable: int getVersionCode()
[METHOD 10] getVersionName()Ljava/lang/String;
  Readable: String getVersionName()
[METHOD 11] intentPosLink(DDILjava/lang/String;Z)V
  Readable: void intentPosLink(double, double, int, String, boolean)
[METHOD 12] reloadIITC()V
  Readable: void reloadIITC()
[METHOD 13] reloadIITC(Z)V
  Readable: void reloadIITC(boolean)
[METHOD 14] saveFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void saveFile(String, String, String)
[METHOD 15] setActiveHighlighter(Ljava/lang/String;)V
  Readable: void setActiveHighlighter(String)
[METHOD 16] setFollowMode(Z)V
  Readable: void setFollowMode(boolean)
[METHOD 17] setLayers(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void setLayers(String, String)
[METHOD 18] setPermalink(Ljava/lang/String;)V
  Readable: void setPermalink(String)
[METHOD 19] setProgress(D)V
  Readable: void setProgress(double)
[METHOD 20] shareString(Ljava/lang/String;)V
  Readable: void shareString(String)
[METHOD 21] showZoom()Z
  Readable: boolean showZoom()
[METHOD 22] spinnerEnabled(Z)V
  Readable: void spinnerEnabled(boolean)
[METHOD 23] switchToPane(Ljava/lang/String;)V
  Readable: void switchToPane(String)
[METHOD 24] updateIitc(Ljava/lang/String;)V
  Readable: void updateIitc(String) | initiating method: iitc_init(Landroid/content/Context;)V"
"Intent-webview_new-9","ollama/deepseek-r1:8b","### Finding: Permalink Setting (Method 18)
**Risk Level**: Medium  
**Data Flow Path**: [JS Source] -> [JS call to setPermalink] -> [Java method setPermalink] -> [Permalink storage]  
**Technical Description**: The `setPermalink` method allows arbitrary JavaScript to set the permalink, which might be a URL. This can be used to set a malicious URL that, when clicked, leads to phishing.  
**Evidence**: `setPermalink('http://malicious.com');`

---","INVALID","","Interface 'android' (Lcom/cradle/iitc_mobile/IITC_JSInterface;) exposes: [METHOD 1] addPane(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String)
[METHOD 2] addPane(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String, String)
[METHOD 3] addPortalHighlighter(Ljava/lang/String;)V
  Readable: void addPortalHighlighter(String)
[METHOD 4] bootFinished()V
  Readable: void bootFinished()
[METHOD 5] copy(Ljava/lang/String;)V
  Readable: void copy(String)
[METHOD 6] dialogFocused(Ljava/lang/String;)V
  Readable: void dialogFocused(String)
[METHOD 7] dialogOpened(Ljava/lang/String;Z)V
  Readable: void dialogOpened(String, boolean)
[METHOD 8] getFileRequestUrlPrefix()Ljava/lang/String;
  Readable: String getFileRequestUrlPrefix()
[METHOD 9] getVersionCode()I
  Readable: int getVersionCode()
[METHOD 10] getVersionName()Ljava/lang/String;
  Readable: String getVersionName()
[METHOD 11] intentPosLink(DDILjava/lang/String;Z)V
  Readable: void intentPosLink(double, double, int, String, boolean)
[METHOD 12] reloadIITC()V
  Readable: void reloadIITC()
[METHOD 13] reloadIITC(Z)V
  Readable: void reloadIITC(boolean)
[METHOD 14] saveFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void saveFile(String, String, String)
[METHOD 15] setActiveHighlighter(Ljava/lang/String;)V
  Readable: void setActiveHighlighter(String)
[METHOD 16] setFollowMode(Z)V
  Readable: void setFollowMode(boolean)
[METHOD 17] setLayers(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void setLayers(String, String)
[METHOD 18] setPermalink(Ljava/lang/String;)V
  Readable: void setPermalink(String)
[METHOD 19] setProgress(D)V
  Readable: void setProgress(double)
[METHOD 20] shareString(Ljava/lang/String;)V
  Readable: void shareString(String)
[METHOD 21] showZoom()Z
  Readable: boolean showZoom()
[METHOD 22] spinnerEnabled(Z)V
  Readable: void spinnerEnabled(boolean)
[METHOD 23] switchToPane(Ljava/lang/String;)V
  Readable: void switchToPane(String)
[METHOD 24] updateIitc(Ljava/lang/String;)V
  Readable: void updateIitc(String) | initiating method: iitc_init(Landroid/content/Context;)V"
"Intent-webview_new-9","ollama/deepseek-r1:8b","### Finding: Update Method (Method 24)
**Risk Level**: Medium  
**Data Flow Path**: [JS Source] -> [JS call to updateIitc] -> [Java method updateIitc] -> [App state update]  
**Technical Description**: The `updateIitc` method allows arbitrary JavaScript to update the app's state with a string. If the string is used to inject HTML or execute code, it could lead to XSS. However, without knowing the implementation, we can't be certain.  
**Evidence**: `updateIitc('<script>alert(1)</script>');`","PARTIAL","","Interface 'android' (Lcom/cradle/iitc_mobile/IITC_JSInterface;) exposes: [METHOD 1] addPane(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String)
[METHOD 2] addPane(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String, String)
[METHOD 3] addPortalHighlighter(Ljava/lang/String;)V
  Readable: void addPortalHighlighter(String)
[METHOD 4] bootFinished()V
  Readable: void bootFinished()
[METHOD 5] copy(Ljava/lang/String;)V
  Readable: void copy(String)
[METHOD 6] dialogFocused(Ljava/lang/String;)V
  Readable: void dialogFocused(String)
[METHOD 7] dialogOpened(Ljava/lang/String;Z)V
  Readable: void dialogOpened(String, boolean)
[METHOD 8] getFileRequestUrlPrefix()Ljava/lang/String;
  Readable: String getFileRequestUrlPrefix()
[METHOD 9] getVersionCode()I
  Readable: int getVersionCode()
[METHOD 10] getVersionName()Ljava/lang/String;
  Readable: String getVersionName()
[METHOD 11] intentPosLink(DDILjava/lang/String;Z)V
  Readable: void intentPosLink(double, double, int, String, boolean)
[METHOD 12] reloadIITC()V
  Readable: void reloadIITC()
[METHOD 13] reloadIITC(Z)V
  Readable: void reloadIITC(boolean)
[METHOD 14] saveFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void saveFile(String, String, String)
[METHOD 15] setActiveHighlighter(Ljava/lang/String;)V
  Readable: void setActiveHighlighter(String)
[METHOD 16] setFollowMode(Z)V
  Readable: void setFollowMode(boolean)
[METHOD 17] setLayers(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void setLayers(String, String)
[METHOD 18] setPermalink(Ljava/lang/String;)V
  Readable: void setPermalink(String)
[METHOD 19] setProgress(D)V
  Readable: void setProgress(double)
[METHOD 20] shareString(Ljava/lang/String;)V
  Readable: void shareString(String)
[METHOD 21] showZoom()Z
  Readable: boolean showZoom()
[METHOD 22] spinnerEnabled(Z)V
  Readable: void spinnerEnabled(boolean)
[METHOD 23] switchToPane(Ljava/lang/String;)V
  Readable: void switchToPane(String)
[METHOD 24] updateIitc(Ljava/lang/String;)V
  Readable: void updateIitc(String) | initiating method: iitc_init(Landroid/content/Context;)V"
"Intent-webview_new-9","ollama/phi4:14b","### Finding: Potential Path Traversal Vulnerability
**Risk Level**: High  
**Data Flow Path**: [JavaScript] -> [WebView Bridge Object] -> [Java Method: saveFile(String, String, String)]  
**Technical Description**: The `saveFile` method may be susceptible to path traversal attacks if it constructs file paths using unsanitized user input from JavaScript. Attackers could manipulate inputs to access or overwrite arbitrary files on the device.
**Evidence**: Method `void saveFile(String, String, String)`","VALID","","Interface 'android' (Lcom/cradle/iitc_mobile/IITC_JSInterface;) exposes: [METHOD 1] addPane(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String)
[METHOD 2] addPane(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String, String)
[METHOD 3] addPortalHighlighter(Ljava/lang/String;)V
  Readable: void addPortalHighlighter(String)
[METHOD 4] bootFinished()V
  Readable: void bootFinished()
[METHOD 5] copy(Ljava/lang/String;)V
  Readable: void copy(String)
[METHOD 6] dialogFocused(Ljava/lang/String;)V
  Readable: void dialogFocused(String)
[METHOD 7] dialogOpened(Ljava/lang/String;Z)V
  Readable: void dialogOpened(String, boolean)
[METHOD 8] getFileRequestUrlPrefix()Ljava/lang/String;
  Readable: String getFileRequestUrlPrefix()
[METHOD 9] getVersionCode()I
  Readable: int getVersionCode()
[METHOD 10] getVersionName()Ljava/lang/String;
  Readable: String getVersionName()
[METHOD 11] intentPosLink(DDILjava/lang/String;Z)V
  Readable: void intentPosLink(double, double, int, String, boolean)
[METHOD 12] reloadIITC()V
  Readable: void reloadIITC()
[METHOD 13] reloadIITC(Z)V
  Readable: void reloadIITC(boolean)
[METHOD 14] saveFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void saveFile(String, String, String)
[METHOD 15] setActiveHighlighter(Ljava/lang/String;)V
  Readable: void setActiveHighlighter(String)
[METHOD 16] setFollowMode(Z)V
  Readable: void setFollowMode(boolean)
[METHOD 17] setLayers(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void setLayers(String, String)
[METHOD 18] setPermalink(Ljava/lang/String;)V
  Readable: void setPermalink(String)
[METHOD 19] setProgress(D)V
  Readable: void setProgress(double)
[METHOD 20] shareString(Ljava/lang/String;)V
  Readable: void shareString(String)
[METHOD 21] showZoom()Z
  Readable: boolean showZoom()
[METHOD 22] spinnerEnabled(Z)V
  Readable: void spinnerEnabled(boolean)
[METHOD 23] switchToPane(Ljava/lang/String;)V
  Readable: void switchToPane(String)
[METHOD 24] updateIitc(Ljava/lang/String;)V
  Readable: void updateIitc(String) | initiating method: iitc_init(Landroid/content/Context;)V"
"Intent-webview_new-9","ollama/phi4:14b","### Finding: Potential Intent Redirection Vulnerability
**Risk Level**: Medium  
**Data Flow Path**: [JavaScript] -> [WebView Bridge Object] -> [Java Methods: addPane, setPermalink, switchToPane]  
**Technical Description**: These methods may allow for intent redirection if they are not properly validating and sanitizing inputs. An attacker could manipulate the input to redirect users to malicious sites or perform phishing attacks.
**Evidence**: Methods `void addPane(String, String)`, `void setPermalink(String)`, `void switchToPane(String)`","INVALID","","Interface 'android' (Lcom/cradle/iitc_mobile/IITC_JSInterface;) exposes: [METHOD 1] addPane(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String)
[METHOD 2] addPane(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String, String)
[METHOD 3] addPortalHighlighter(Ljava/lang/String;)V
  Readable: void addPortalHighlighter(String)
[METHOD 4] bootFinished()V
  Readable: void bootFinished()
[METHOD 5] copy(Ljava/lang/String;)V
  Readable: void copy(String)
[METHOD 6] dialogFocused(Ljava/lang/String;)V
  Readable: void dialogFocused(String)
[METHOD 7] dialogOpened(Ljava/lang/String;Z)V
  Readable: void dialogOpened(String, boolean)
[METHOD 8] getFileRequestUrlPrefix()Ljava/lang/String;
  Readable: String getFileRequestUrlPrefix()
[METHOD 9] getVersionCode()I
  Readable: int getVersionCode()
[METHOD 10] getVersionName()Ljava/lang/String;
  Readable: String getVersionName()
[METHOD 11] intentPosLink(DDILjava/lang/String;Z)V
  Readable: void intentPosLink(double, double, int, String, boolean)
[METHOD 12] reloadIITC()V
  Readable: void reloadIITC()
[METHOD 13] reloadIITC(Z)V
  Readable: void reloadIITC(boolean)
[METHOD 14] saveFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void saveFile(String, String, String)
[METHOD 15] setActiveHighlighter(Ljava/lang/String;)V
  Readable: void setActiveHighlighter(String)
[METHOD 16] setFollowMode(Z)V
  Readable: void setFollowMode(boolean)
[METHOD 17] setLayers(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void setLayers(String, String)
[METHOD 18] setPermalink(Ljava/lang/String;)V
  Readable: void setPermalink(String)
[METHOD 19] setProgress(D)V
  Readable: void setProgress(double)
[METHOD 20] shareString(Ljava/lang/String;)V
  Readable: void shareString(String)
[METHOD 21] showZoom()Z
  Readable: boolean showZoom()
[METHOD 22] spinnerEnabled(Z)V
  Readable: void spinnerEnabled(boolean)
[METHOD 23] switchToPane(Ljava/lang/String;)V
  Readable: void switchToPane(String)
[METHOD 24] updateIitc(Ljava/lang/String;)V
  Readable: void updateIitc(String) | initiating method: iitc_init(Landroid/content/Context;)V"
"Intent-webview_new-9","ollama/phi4:14b","### Finding: Protocol & Origin Security Concerns
**Risk Level**: Medium  
**Data Flow Path**: [JavaScript] -> WebView Content Loading  
**Technical Description**: If content is loaded over HTTP without proper origin validation, it could expose the application to security risks such as man-in-the-middle attacks or unauthorized script execution.
**Evidence**: N/A (requires review of JavaScript content loading practices)","PARTIAL","","Interface 'android' (Lcom/cradle/iitc_mobile/IITC_JSInterface;) exposes: [METHOD 1] addPane(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String)
[METHOD 2] addPane(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void addPane(String, String, String)
[METHOD 3] addPortalHighlighter(Ljava/lang/String;)V
  Readable: void addPortalHighlighter(String)
[METHOD 4] bootFinished()V
  Readable: void bootFinished()
[METHOD 5] copy(Ljava/lang/String;)V
  Readable: void copy(String)
[METHOD 6] dialogFocused(Ljava/lang/String;)V
  Readable: void dialogFocused(String)
[METHOD 7] dialogOpened(Ljava/lang/String;Z)V
  Readable: void dialogOpened(String, boolean)
[METHOD 8] getFileRequestUrlPrefix()Ljava/lang/String;
  Readable: String getFileRequestUrlPrefix()
[METHOD 9] getVersionCode()I
  Readable: int getVersionCode()
[METHOD 10] getVersionName()Ljava/lang/String;
  Readable: String getVersionName()
[METHOD 11] intentPosLink(DDILjava/lang/String;Z)V
  Readable: void intentPosLink(double, double, int, String, boolean)
[METHOD 12] reloadIITC()V
  Readable: void reloadIITC()
[METHOD 13] reloadIITC(Z)V
  Readable: void reloadIITC(boolean)
[METHOD 14] saveFile(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V
  Readable: void saveFile(String, String, String)
[METHOD 15] setActiveHighlighter(Ljava/lang/String;)V
  Readable: void setActiveHighlighter(String)
[METHOD 16] setFollowMode(Z)V
  Readable: void setFollowMode(boolean)
[METHOD 17] setLayers(Ljava/lang/String;Ljava/lang/String;)V
  Readable: void setLayers(String, String)
[METHOD 18] setPermalink(Ljava/lang/String;)V
  Readable: void setPermalink(String)
[METHOD 19] setProgress(D)V
  Readable: void setProgress(double)
[METHOD 20] shareString(Ljava/lang/String;)V
  Readable: void shareString(String)
[METHOD 21] showZoom()Z
  Readable: boolean showZoom()
[METHOD 22] spinnerEnabled(Z)V
  Readable: void spinnerEnabled(boolean)
[METHOD 23] switchToPane(Ljava/lang/String;)V
  Readable: void switchToPane(String)
[METHOD 24] updateIitc(Ljava/lang/String;)V
  Readable: void updateIitc(String) | initiating method: iitc_init(Landroid/content/Context;)V"
